LogmoneynessForward,ImpliedVolatility,Maturity
-0.49116120218579246,0.2987801242025128,0.2493
-0.33620218579234984,0.2570356813700564,0.2493
-0.2670969945355192,0.2295573348944746,0.2493
-0.20219262295081974,0.20320454826567172,0.2493
-0.1394125683060109,0.17847660012834846,0.2493
-0.1101161202185792,0.16709672929875238,0.2493
-0.08290300546448082,0.15614735052638593,0.2493
-0.06197404371584703,0.14572553378040157,0.2493
-0.0389617486338798,0.1359526583037612,0.2493
-0.028504098360655816,0.13154220366311745,0.2493
-0.018039617486338755,0.12697864934404876,0.2493
0.0028620218579233914,0.12062564175508189,0.2493
0.0216530054644809,0.11041285042152024,0.2493
0.04461065573770495,0.10679176732313346,0.2493
0.06336748633879774,0.10111729630823862,0.2493
0.07170081967213104,0.10111729630823862,0.2493
0.08211748633879778,0.10111729630823862,0.2493
0.10086065573770497,0.10304351312815133,0.2493
0.11959699453551909,0.10861739986347325,0.2493
0.1404234972677597,0.11391889004204608,0.2493
0.16333333333333333,0.11898440008556568,0.2493
0.20703551912568308,0.13302860342667835,0.2493
0.24657786885245914,0.1443699179555061,0.2493
0.28612704918032794,0.15488297870103948,0.2493
0.35896174863388,0.17173918854691872,0.2493
0.39226775956284177,0.18066657898897953,0.2493
0.42765710382513655,0.18708276423605016,0.2493
0.4609699453551913,0.19328607964574648,0.2493
0.4942827868852461,0.19929640361893675,0.2493
0.5234357923497269,0.20608702625630243,0.2493
0.5525956284153007,0.2126609232719768,0.2493
0.5817554644808746,0.218138066823537,0.2493
0.6130054644808743,0.22259942974551136,0.2493
0.6379986338797817,0.2269731174578694,0.2493
0.6671653005464483,0.2304122999949381,0.2493
0.690081967213115,0.23464040128348376,0.2493
0.7171584699453551,0.23879365117186682,0.2493
-0.49116120218579246,0.24607625096862426,0.5068
-0.33620218579234984,0.21310828460686365,0.5068
-0.2670969945355192,0.19454035778401696,0.5068
-0.20219262295081974,0.175114032114518,0.5068
-0.1394125683060109,0.15884153698310643,0.5068
-0.1101161202185792,0.15069031317254608,0.5068
-0.08290300546448082,0.1427535950368093,0.5068
-0.06197404371584703,0.13720763281925036,0.5068
-0.0389617486338798,0.1314278513549967,0.5068
-0.028504098360655816,0.12844046447967852,0.5068
-0.018039617486338755,0.1253819194290788,0.5068
0.0028620218579233914,0.12145047025300296,0.5068
0.0216530054644809,0.1173874257730832,0.5068
0.04461065573770495,0.11488064385528338,0.5068
0.06336748633879774,0.11317861429875645,0.5068
0.07170081967213104,0.11231792793484834,0.5068
0.08211748633879778,0.11317861429875645,0.5068
0.10086065573770497,0.11488064385528338,0.5068
0.11959699453551909,0.11655782226269598,0.5068
0.1404234972677597,0.11821120728864928,0.5068
0.16333333333333333,0.12145047025300296,0.5068
0.20703551912568308,0.12919378744647303,0.5068
0.24657786885245914,0.1350692011778983,0.5068
0.28612704918032794,0.1406994793839219,0.5068
0.35896174863388,0.15069031317254608,0.5068
0.39226775956284177,0.15575694166267878,0.5068
0.42765710382513655,0.16066387045064684,0.5068
0.4609699453551913,0.16483765304457734,0.5068
0.4942827868852461,0.1689083315124114,0.5068
0.5234357923497269,0.17288318902475422,0.5068
0.5525956284153007,0.17621886346649224,0.5068
0.5817554644808746,0.17949255871894956,0.5068
0.6130054644808743,0.18270760638114902,0.5068
0.6379986338797817,0.18534421605373433,0.5068
0.6671653005464483,0.18794384113244514,0.5068
0.690081967213115,0.1899979331878464,0.5068
0.7171584699453551,0.19253473351761177,0.5068
-0.49116120218579246,0.23261570703770687,0.7562
-0.33620218579234984,0.20369844454067054,0.7562
-0.2670969945355192,0.18912925772559633,0.7562
-0.20219262295081974,0.17483416443789065,0.7562
-0.1394125683060109,0.16169269508090556,0.7562
-0.1101161202185792,0.1542829435148742,0.7562
-0.08290300546448082,0.14782470195196232,0.7562
-0.06197404371584703,0.1419901507443953,0.7562
-0.0389617486338798,0.1363830472840163,0.7562
-0.028504098360655816,0.1334912054238154,0.7562
-0.018039617486338755,0.13103259343140858,0.7562
0.0028620218579233914,0.12597149587536025,0.7562
0.0216530054644809,0.12336310789264941,0.7562
0.04461065573770495,0.1206983637204374,0.7562
0.06336748633879774,0.12123599829101701,0.7562
0.07170081967213104,0.12123599829101701,0.7562
0.08211748633879778,0.12177125916425428,0.7562
0.10086065573770497,0.1223041775054167,0.7562
0.11959699453551909,0.12336310789264941,0.7562
0.1404234972677597,0.12388917896960147,0.7562
0.16333333333333333,0.12545415695084566,0.7562
0.20703551912568308,0.12801994719726248,0.7562
0.24657786885245914,0.13053531424305195,0.7562
0.28612704918032794,0.13300311894340966,0.7562
0.35896174863388,0.13685908031001343,0.7562
0.39226775956284177,0.13827734700155403,0.7562
0.42765710382513655,0.13968121392754881,0.7562
0.4609699453551913,0.14153137684481,0.7562
0.4942827868852461,0.1419901507443953,0.7562
0.5234357923497269,0.14335766369085953,0.7562
0.5525956284153007,0.14335766369085953,0.7562
0.5817554644808746,0.14381061162421246,0.7562
0.6130054644808743,0.14381061162421246,0.7562
0.6379986338797817,0.1442621374185152,0.7562
0.6671653005464483,0.1442621374185152,0.7562
0.690081967213115,0.1442621374185152,0.7562
0.7171584699453551,0.1451609756312472,0.7562
-0.49116120218579246,0.22401564641633032,1.0055
-0.33620218579234984,0.19706746208468837,1.0055
-0.2670969945355192,0.18370848588642127,1.0055
-0.20219262295081974,0.17073706134636238,1.0055
-0.1394125683060109,0.15855729637987662,1.0055
-0.1101161202185792,0.15258370241033906,1.0055
-0.08290300546448082,0.1463665134079438,1.0055
-0.06197404371584703,0.14161087320356927,1.0055
-0.0389617486338798,0.1366898773565803,1.0055
-0.028504098360655816,0.13452578483013028,1.0055
-0.018039617486338755,0.13195616077054648,1.0055
0.0028620218579233914,0.12819595177947266,1.0055
0.0216530054644809,0.1258859256035019,1.0055
0.04461065573770495,0.12353271015182966,1.0055
0.06336748633879774,0.1231361354200716,1.0055
0.07170081967213104,0.1231361354200716,1.0055
0.08211748633879778,0.1231361354200716,1.0055
0.10086065573770497,0.12353271015182966,1.0055
0.11959699453551909,0.12432206457418346,1.0055
0.1404234972677597,0.12471486828463231,1.0055
0.16333333333333333,0.125106438693294,1.0055
0.20703551912568308,0.12781384675135607,1.0055
0.24657786885245914,0.13008964297350345,1.0055
0.28612704918032794,0.13195616077054648,1.0055
0.35896174863388,0.13633158086258385,1.0055
0.39226775956284177,0.1377591756129304,1.0055
0.42765710382513655,0.13917212720446998,1.0055
0.4609699453551913,0.1402224977826825,1.0055
0.4942827868852461,0.14126505858920538,1.0055
0.5234357923497269,0.14195584539124523,1.0055
0.5525956284153007,0.14229998127901797,1.0055
0.5817554644808746,0.14264328691976574,1.0055
0.6130054644808743,0.14264328691976574,1.0055
0.6379986338797817,0.1429857682937024,1.0055
0.6671653005464483,0.1429857682937024,1.0055
0.690081967213115,0.1429857682937024,1.0055
0.7171584699453551,0.143327431309593,1.0055
